[    0.00s ->     8.18s] Moment of truth. Run. Boom. Here's our user interface. Just as we drew it up, we are going
[    8.18s ->    14.54s] to connect to the trader workstation. Successful connection. We are making the connection request
[   14.54s ->    20.00s] via the e-client to trader workstation. It is responding to the callback methods in e-wrapper.
[   20.12s ->    25.98s] We are going to add a symbol to trade. Naturally, NVIDIA, as we add this symbol, we are going to
[   25.98s ->    31.32s] create a thesis. We're going to have ChatGPT create a trading thesis. We are going to query news from
[   31.32s ->    37.34s] trader workstation. Send it over to ChatGPT. It constructs a trading thesis and a price target,
[   37.34s ->    46.56s] and it places an order with the trader workstation based on that price target with the ability to
[   46.56s ->    53.18s] reevaluate that thesis over time, providing it the original thesis and news point in time,
[   53.18s ->    61.16s] updating that position, cutting losses, doubling down, or holding. And this is a fully automated
[   61.16s ->    71.28s] AI trading system built from scratch in Python. They say it's going to take over the world. Well,
[   71.34s ->    77.92s] it better be able to manage our equity portfolio today. We're going to build a fully automated AI
[   77.92s ->    84.58s] trading bot in Python. We are literally going to let a large language model ChatGPT make trading
[   84.58s ->    90.54s] decisions for our portfolio. We're going to build this entire project from scratch together. I'm
[   90.54s ->    96.10s] going to do so in real time. I anticipate running into some roadblocks along the way. You're going to
[   96.10s ->   101.58s] be able to see how I resolve them in real time. And by the end of this video, we're going to have a
[  101.58s ->   110.20s] fully-functionated algorithmic trading system that is driven entirely by ChatGPT. I'm going to show
[  110.20s ->   114.00s] you everything from the connection to the trader workstation. That's where we're actually going to
[  114.00s ->   119.32s] execute trades with Interactive Brokers and their Python API. I'll leave a link in the description
[  119.32s ->   122.36s] below if you'd like to get started with them. They're the only broker I use. I've been with them
[  122.36s ->   129.70s] for over 10 years in a trading and investing capacity. And I use them for all of my quant builds
[  129.70s ->   135.58s] just like this one. We're also going to use OpenAI's API. I'm going to walk you through everything
[  135.58s ->   140.48s] there. We're going to do two smoke tests, combine everything into a user interface at the end of the
[  140.48s ->   148.62s] day, and allow ChatGPT to make trading decisions with our portfolio. The efficacy of this is certainly
[  148.62s ->   156.18s] subject for discussion. And every single time this system is used, the results are going to change.
[  156.18s ->   161.42s] The response for one input is going to be different from the next. So if you implement this on your
[  161.42s ->   166.34s] accounts, you may make a tremendous amount of money, in which case you're welcome. Otherwise,
[  167.16s ->   172.56s] if you lose a tremendous amount of money, this video is purely for educational purposes. This is
[  172.56s ->   178.60s] not financial advice, though I'm sure some of you could use it. Without wasting any time here,
[  178.70s ->   184.38s] let's get started by discussing the infrastructure. How do we connect to the trader workstation?
[  184.38s ->   191.94s] How does that even work? Well, we're going to need to set up a Python client first. So I'm going to
[  191.94s ->   199.40s] draw a block here. This is effectively going to be our Python script. Okay. And we need somewhere to
[  199.40s ->   204.46s] execute our trades. And that's going to be the trader workstation. This is interactive brokers.
[  205.02s ->   211.72s] And in order to make requests to the server, we need an API. Fortunately, interactive brokers has an
[  211.72s ->   221.12s] SDK for Python. And within that SDK, within the IB API, you can just run a pip install IB API. And you'll
[  221.12s ->   230.34s] be able to access it in Python. There are two main classes. The first is to request data from the trader
[  230.34s ->   239.46s] workstation. And that is going to be the e-client. The second is going to be to receive responses via
[  239.46s ->   249.00s] callback methods. And that is the e-wrapper. So the e-client is where we initiate requests to the server.
[  249.66s ->   256.14s] Things like a connection request, a disconnect request, requesting portfolio information, account
[  256.14s ->   265.01s] information, net liquidation value, and of course, placing trades. How do we get responses from the server?
[  265.01s ->   272.33s] Well, that is where the e-wrapper comes in. The e-wrapper has callback methods and the trader workstation
[  272.33s ->   279.50s] is going to send responses to those callback methods. This is a pretty standard loop. We can
[  279.50s ->   285.56s] build a nice user interface here with some buttons, right? To maybe buy stock, sell stock. We're just
[  285.56s ->   289.28s] going to restrict to U.S. equities for this video for simplicity's sake. You could extend to other
[  289.28s ->   294.68s] products, options, futures. You could be product agnostic for sure. U.S. equities for simplicity's sake
[  294.68s ->   300.00s] here. But where does ChackGPT come in? Of course, we can create a window where we can just press a
[  300.00s ->   306.76s] button and buy and sell. But how can we give ChackGPT the ability to actually execute those
[  306.76s ->   311.76s] trades? This is where things get really interesting. And I've long said that at some point, these large
[  311.76s ->   317.52s] language models are only going to be so smart. And we're going to need to make them appear smarter or
[  317.52s ->   324.34s] have them do more things by just giving them access to function calls, allowing it effectively to
[  324.34s ->   330.58s] do stuff. Whether or not that is a good idea, again, is subject for discussion. Dumping your
[  330.58s ->   338.48s] entire CRM to your client base doesn't seem like a good idea. You probably have a perception of that
