[    0.46s ->    10.12s] Welcome back. Can AI learn Black-Scholes? More generally, can AI learn to price options?
[   10.98s ->    15.44s] This is a topic of particular interest to me because it combines data science, machine learning,
[   15.44s ->    21.06s] artificial intelligence with financial mathematics, areas that I have a great affinity for
[   21.06s ->    26.64s] and really enjoy studying. This is an area or a topic that I spent a lot of time studying as a
[   26.64s ->    32.74s] quantitative researcher. So without further ado, I would like to talk about the background required
[   32.74s ->    39.06s] to understand this problem space. And then I want to walk through very clear, simple, and easy to
[   39.06s ->    45.22s] understand examples so that we can climb up each rung of the ladder together and understand why
[   45.22s ->    50.22s] this stream of literature exists in the first place and talk about some very interesting solutions
[   50.22s ->    55.94s] proposed to solve some very intricate problems. We can develop an argument for Black-Scholes prices,
[   55.94s ->    62.06s] right? We can assume a geometric Brownian motion, constant volatility, no arbitrage,
[   62.18s ->    68.80s] no transaction costs, continuous hedging capacity, et cetera. And yes, we can go ahead and use Ito's
[   68.80s ->    73.32s] lemma. We can derive the Black-Scholes equation, solve that partial differential equation, get
[   73.32s ->    79.52s] the Black-Scholes model, prices, and generate prices for European calls and puts. That's all well and good.
[   79.52s ->    87.02s] However, we all know that these assumptions are just not true. We know in practice there are transaction
[   87.02s ->    92.92s] costs. We know that there is arbitrage. We know that we can't hedge continuously. And of course, volatility
[   92.92s ->    99.70s] is not constant among other violations and omissions of, you know, the model in the case for the real world,
[   99.80s ->   107.58s] right? However, there are many models that do aim to capture more dynamics and stylized facts of the market.
[  107.58s ->   114.24s] So we know that volatility is not constant. So Heston has his model. Dupierre has his local
[  114.24s ->   120.96s] volatility. We have models that try to treat volatility as either a function locally or as
[  120.96s ->   126.80s] its own process that evolves throughout time, like a Heston. We also know, for example, that prices can
[  126.80s ->   131.86s] jump. There are jump diffusion models. We know there are transaction costs and occasional arbitrage and,
[  131.86s ->   139.02s] you know, so on and so forth. But there is this implicit trade-off, right? If we have a parsimonious
[  139.02s ->   146.12s] model that is, you know, efficient, something like a Black-Scholes, then we can get an analytically
[  146.12s ->   151.52s] tractable solution. So the Black-Scholes model is actually a function. You plug in a whole bunch of
[  151.52s ->   157.24s] parameters and it spits out a price. Something like a Heston, you know, if you consider FFT, that's
[  157.24s ->   162.30s] totally fine. We have the fast Fourier transform. But something that's more complicated, maybe of
[  162.30s ->   167.20s] the rough model family, where you have this fractional Brownian motion and long-range
[  167.20s ->   174.58s] dependency on volatility, then you're not going to have an analytical solution. So what I mean to say
[  174.58s ->   179.52s] is the more complicated your model gets, the less analytically tractable it probably will be,
[  179.52s ->   184.96s] and you will require simulation or more computationally expensive means of generating
[  184.96s ->   190.48s] prices. That isn't too far off or difficult to understand. In essence, what I'm saying is
[  190.48s ->   194.04s] something like a Black-Scholes with all these assumptions, it's like, yeah, these assumptions
[  194.04s ->   200.62s] aren't true. But the more things that we assume away, the easier it is to generate a price. And the
[  200.62s ->   205.78s] less things we assume away, the more difficult it is to generate a price. And that shouldn't be
[  205.78s ->   212.10s] difficult to see. So something as simple as, you know, removing the constant volatility, so consider
[  212.10s ->   217.76s] something like a Heston, it becomes very difficult to develop a hedging argument because you don't just
[  217.76s ->   223.78s] have stock, but you need another option in that portfolio. So I'm going to digress. But there's this
[  223.78s ->   231.93s] trade-off essentially between model complexity and model efficiency. Now, when we have more
[  231.93s ->   238.91s] complicated models that, you know, fair enough, they are, you know, less efficient, and they may
[  238.91s ->   244.45s] not have analytically tractable solutions. So you may need to do some sort of simulation to generate
