[    0.46s ->     7.84s] Hey guys, Roman here, quantitative researcher and trader, founder of Quant Guild. I have a
[    7.84s ->    15.62s] really cool one for you today. We're going to be building a live implied volatility surface
[   15.62s ->    24.92s] using Python and Interactive Brokers API. What you're seeing here is the final product. This
[   24.92s ->    30.92s] is going to plot in real time for whatever name we would like. In this case, we're using the
[   30.92s ->    39.72s] SPY ETF, the implied volatility surface, and the front month SKU, in this case, for zero DTE
[   39.72s ->    47.74s] options. And this, of course, is going to update in real time as new quotes flow in. We can use the
[   47.74s ->    53.22s] implied volatilities supplied by Interactive Brokers, or we can back them out using the Black
[   53.22s ->    60.88s] Scholz model on our own. And of course, we can use these surfaces to calibrate our stochastic models
[   60.88s ->    67.52s] and inform our options trading decisions. Now, there's certainly a lot of financial mathematics
[   67.52s ->    74.10s] that goes into the volatility surface, understanding it and its construction. If you're looking for a
[   74.10s ->    80.08s] place to learn all of the necessary probability, statistics, mathematics, finance, and of course,
[   80.08s ->    86.46s] financial mathematics to understand the volatility surface for trading and market-making roles,
[   86.86s ->    93.48s] check out quantguild.com. In any case, we'll start with a brief discussion of what the volatility
[   93.48s ->   100.48s] surface actually is and what it's made of before we dive into the code for this live build.
[  100.48s ->   106.40s] So, the volatility surface itself, what are we looking at? Well, we are looking at effectively
[  106.40s ->   115.78s] implied volatilities indexed by strike price and maturity. But what are these strike prices for?
[  115.92s ->   122.34s] They're for European exchange-listed options. In this case, I'm looking at out-of-the-money calls,
[  122.44s ->   128.22s] that's going to be anything above the at-the-money strike price, and out-of-the-money puts,
[  128.22s ->   135.92s] everything below the at-the-money strike price. We're also indexing by time to maturity. That's
[  135.92s ->   142.70s] what makes it a three-dimensional plot. We have a zero day to expiration here, then we have a one day,
[  142.92s ->   149.04s] and we're going to continue to go down the line. We're allowed to specify this grid as anything we
[  149.04s ->   156.88s] would like. But I want you to notice this skew here. You'll notice that for options expiring on
[  156.88s ->   164.60s] the same day, expiring today, we have different implied volatilities, even though the absolute
[  164.60s ->   171.32s] move up or down away from the at-the-money strike price is the same. Why is this the case? Well,
[  171.32s ->   179.56s] this is the smile that our stochastic models are trying to fit. Effectively, downside protection
