[    0.02s ->     5.64s] I personally work with a handful of options traders one-on-one and they each pay me $5,000.
[    6.32s ->    10.24s] Once a month I do an in-depth training on something very specific and last month I did
[   10.24s ->    15.00s] a training on the 1DTRB options strategy. It's literally printing money for me right now
[   15.00s ->    19.30s] and exactly how to trade it in every type of market. This strategy has personally doubled
[   19.30s ->    24.38s] the amount of money that I've used. I use about $2,000 to trade this strategy on a small account
[   24.38s ->    30.94s] and it's made me $1,600 in the last three months. This training may seem boring. It may not seem
[   30.94s ->    35.92s] like your normal hypey YouTube video but it's very dense, very educational and if you actually
[   35.92s ->    41.46s] deploy this strategy you are going to hopefully make some money. Let's dive in and watch this
[   41.46s ->    47.34s] training. Super excited to share. Let's dive into it. This monthly live training is over the Simple
[   47.34s ->    52.22s] 1DTE ORB which stands for Opening Range Breakout. Don't worry I'll explain that more in a second
[   52.22s ->    57.12s] if you've never heard of it. Strategy that generates $200 to $500 a day without having
[   57.12s ->    62.24s] huge losses like most 0DTE traders have. Are you guys excited for this? We've got 10 people
[   62.24s ->    66.26s] on the call. I want to hear some thumbs up if we're good to go. We've got a lot of people
[   66.26s ->    71.36s] on here. Also got thumbs up. Sweet. We're good to go then. This fits into our options bot portfolio
[   71.36s ->    76.12s] system where it comes down into two different breaks. Number one we have a daily income system
[   76.12s ->    79.86s] which is this ORB bot that I'll explain here in a second and our monthly income system which
[   79.86s ->    85.02s] you guys are very familiar with. We run bullish bots and bullish markets, bearish bots and bearish
[   85.02s ->    89.08s] markets and then we can add various other bots like free money bots and things like that to
[   89.08s ->    94.26s] capitalize even more deeply on different small setups. But the monthly income system is designed
[   94.26s ->    99.46s] to help us generate anywhere from 3% to 5% a month consistently in every type of market by aligning
[   99.46s ->   103.56s] the right strategy with the right market and we're able to do this consistently. Now here's the
[  103.56s ->   108.66s] problem. A lot of you guys love seeing daily activity, volume, your ADHD and you just want
[  108.66s ->   114.00s] trades to be going on. And so that's where we invented the daily income bot to help you
[  114.00s ->   119.06s] see that daily activity, daily movement and profits that you can see stuff actually happening
[  119.06s ->   123.40s] without risking too much of your money. And that's what we're going to dive into. So this
[  123.40s ->   129.02s] strategy is an opening range breakout strategy. If you've never heard of it, it's basically the
[  129.02s ->   134.16s] name explains it all opening range breakout. We look at the opening of the market over a certain
[  134.16s ->   139.56s] time period. This time period is 60 minutes. We look at the first hour of the market. We check
[  139.56s ->   145.10s] out the high. What was the high over the last hour? Whenever it breaks that high, that's when
[  145.10s ->   151.58s] we get into the trade. So we basically set over the first 60 minutes, what is our resistance
[  151.58s ->   155.84s] point? What's the high we reach? As soon as we break that resistance, meaning momentum is
[  155.84s ->   161.16s] moving higher. That's when we enter this trade. So here's an exact setup for one of the trades
[  161.16s ->   166.52s] that happened last week. Okay. Here was the first 60 minutes of trading activity. Did pretty well.
[  166.56s ->   170.26s] This is a one minute chart, by the way. So that's why there's so many candles. One minute chart,
[  170.42s ->   175.92s] 60 candles here, 60 minutes of trading activity. Our high got put right here. So we drew out the high.
[  176.08s ->   182.16s] The high got put here. As soon as the high broke, that's when we entered the trade and traded to the
[  182.16s ->   187.54s] upside. That's what an opening range breakout is. Step by step, look at the first 60 minutes to find
[  187.54s ->   193.12s] the high. Once the high breaks for that day, then you enter the trade. And this was the exact trade
[  193.12s ->   202.22s] I did here. It made me about $113. So what are the exact strategy rules behind this? The exact rules
[  202.22s ->   207.54s] are quite simple. 60 minute opening range breakout. As I just discussed, feel like the first 60 minutes
[  207.54s ->   212.56s] chart, the highest point, whenever that highest point breaks, that's our entry. Why? Because momentum's
[  212.56s ->   216.40s] pushing higher or breaking resistances. We're probably going to play that quick upside move.
[  216.80s ->   223.06s] DTE is one DTE. Okay. So you're right. I've never been a fan of zero DTE and back testing. I showed
[  223.06s ->   226.34s] this. I did a lot of testing before doing this. Obviously, I'm only going to give you something
[  226.34s ->   231.64s] that I'm willing to use myself. Zero DTE had a way lower win rate than one DTE. And you might be
[  231.64s ->   237.52s] wondering why go one DTE because it gives us more time. Simply put. Okay. We have more time to be
[  237.52s ->   242.32s] right. The market trends up. If we happen to hold that trade overnight, guess what?
[  242.72s ->   249.22s] Not volatility. Theta decay still impacts overnight activity. So that overnight trading period,
[  249.58s ->   254.66s] theta decay is doing its work on the position. So even if the trade opens where it previously was
[  254.66s ->   261.08s] the last day, guess what? You still are making money because of that theta decay increase. So a lot
[  261.08s ->   265.32s] of times you hold the trade overnight and then you close it first thing that next morning because
[  265.32s ->   269.98s] theta decay got you into your profit target. So anyway, one DTE gives us more time and has
[  269.98s ->   274.72s] dramatically increased our win rate compared to using a zero DTE. So it's still a very short-term
[  274.72s ->   280.04s] trade. Most of these trades only last 30 minutes or so. But if you do happen to hold longer,
[  280.20s ->   284.68s] that's what happens. Okay. Here's how we structure the actual trade though. So one DTE,
[  284.82s ->   290.34s] we do a short put at the 35 Delta. This means we chart out the high on a 60 minute opening range
[  290.34s ->   296.56s] breakout. As soon as that high is broken, we sell a put at 35 Delta. We then buy the put below it.
[  296.62s ->   303.50s] That's $20, a $20 strike price below. We do take profit at 40% and we do a stop loss when it hits our
[  303.50s ->   310.20s] short put. Again, it touches our short put. Here's an example trade. Okay. July 8th, these are random
[  310.20s ->   314.64s] numbers made up, didn't happen. Maybe it did. I don't know. I just made up these numbers. So let's say
[  314.64s ->   321.30s] it's July 8th, we have an opening range breakout where it broke the resistance at $5,500. Okay.
[  321.38s ->   328.58s] That's BX. Okay. That means the DTE we're going to do is July 9th. So the day after our short put,
[  328.70s ->   334.70s] let's just say a 35 Delta is roughly 5,350. And then what we're going to do is, oops, that got messed
[  334.70s ->   341.56s] up. I did $200 difference. It should be 20. That means our long put would be at 5330. So we'd have a
[  341.56s ->   347.98s] short put at 5350 and a long put at 5330. $20 difference for the long put. Let's say a trade
[  347.98s ->   353.34s] price of around $4. That's the average about you're going to get. You're going to get between $2 and $6.
[  353.82s ->   358.54s] So a $4 average trade price is what you'll get, which means that puts your take profit. You'll
[  358.54s ->   366.66s] close the trade once it hits $2.40 and you'll have a stop loss once SPX hits 5350. That's the strategy.
[  366.78s ->   371.00s] If you want to trade it yourself manually, that's exactly how you would do it. But obviously we're not going to
[  371.00s ->   375.98s] do that because we like automation. But let me give you three real examples of real trades that
