[    0.00s ->     4.38s] Hey guys, welcome to the 1-1-1 Trading Strategy Master Ops.
[    4.44s ->     7.58s] We will learn everything you need to know about how to trade this
[    7.58s ->    11.74s] and how I personally used it to make $5,923 in a single month.
[   11.90s ->    12.78s] So let's dive in.
[   12.84s ->    15.76s] What you're going to see is proof from my broker that I've actually done this.
[   15.80s ->    19.62s] You can see here from one of my best months how I did about $6,900,
[   20.10s ->    21.16s] which is insanely awesome.
[   21.56s ->    23.74s] The back test here, I can see it's very consistent.
[   23.92s ->    27.62s] There are some drops with stops, but still 90% win rate.
[   27.62s ->    32.00s] You make about $200, you lose about $800, and overall it works out great,
[   32.08s ->    35.76s] but I'll be showing you some tweaks later of how to actually reduce the risk massively.
[   36.14s ->    38.94s] And you can see here other people who have implemented this as well,
[   39.24s ->    42.46s] doing as much as $1,300 in the first month, $7,500.
[   42.98s ->    46.46s] Anyways, you can just see this works, so I'm super excited to teach it to you,
[   46.52s ->    47.54s] everything you need to know.
[   47.82s ->    49.54s] So here's the game plan for this video.
[   49.86s ->    53.72s] You're going to learn why you should trade this, how to structure it,
[   53.76s ->    56.36s] how to pick the right duration, the right strike prices,
[   56.36s ->    58.30s] the DTE, and all that.
[   58.72s ->    62.74s] You're going to learn how to manage the trade based on take profits, stops, etc.
[   63.34s ->    68.24s] You're going to learn the biggest risk factors for this trade and how to mitigate them.
[   68.58s ->    72.02s] You'll also learn how much you need in your account, how to scale,
[   72.32s ->    73.84s] how to do it with different assets.
[   74.34s ->    77.18s] You'll learn how I personally trained, how I set up the trade,
[   77.68s ->    82.36s] how to adjust it to different markets, like bullish markets, bearish, etc.
[   82.90s ->    85.72s] You'll also learn about the advantages and disadvantages,
[   85.72s ->    89.56s] so you can be aware of what could go wrong and how to adjust it.
[   89.86s ->    91.22s] And then you'll see a real trading example.
[   91.58s ->    94.66s] I'll dive into the chart, show you how to understand how it works.
[   94.92s ->    97.66s] Then I'll show you in my broker how to pick the right strike prices
[   97.66s ->    99.76s] and what credit you're targeting and all that stuff.
[  100.34s ->   104.86s] Then as a bonus on top, I will show you how to automate the one-on-one income strategy
[  104.86s ->   108.60s] if you not only want the passive income, but you also want to do it hands-free.
[  109.24s ->   110.00s] Let's dive in.
[  110.16s ->   112.08s] Legal disclaimer, annoying but require.
[  112.24s ->   115.16s] This is educational and entertainment purposes only.
[  115.26s ->   117.42s] I'm not a financial advisor.
[  117.80s ->   119.06s] I definitely don't control the market.
[  119.16s ->   120.82s] If I did, we would all be rich.
[  121.44s ->   123.80s] Trading is risky and 99% of people lose money.
[  124.16s ->   127.14s] Past performance does not guarantee future results.
[  127.62s ->   131.64s] And you have 100% responsibility over your own trades and actions.
[  131.64s ->   133.78s] If you agree to that, then continue watching.
[  134.02s ->   136.18s] If you don't, then I guess I've seen you.
[  136.18s ->   139.24s] So why trade the one-on-one income strategy?
[  139.38s ->   141.30s] It's a very simple mechanical trade.
[  141.42s ->   146.06s] There's not a lot of guessing, worrying, looking at charts, things like that.
[  146.10s ->   148.90s] You're just every single week, you're doing the exact same thing.
[  149.26s ->   152.64s] And so it's super simple to follow, even for someone who's nowhere to options.
[  153.32s ->   155.26s] Also, you don't have to read the chart.
[  155.42s ->   158.46s] Again, I'll show you how reading the chart here later in this training,
[  158.56s ->   160.50s] how it can help give you an advantage.
[  160.50s ->   166.30s] But still, the base of the strategy, even if you never look at a chart, it's still very good.
[  166.82s ->   171.38s] Guys, the months where I had my greatest success of around $6,000 a month,
[  171.74s ->   172.74s] I never read the chart.
[  172.82s ->   173.68s] I didn't look at the chart.
[  173.78s ->   174.46s] It just did it.
[  174.58s ->   174.74s] Okay?
[  174.86s ->   177.36s] So it's a very simple mechanical strategy.
[  177.84s ->   179.20s] It can easily be scaled.
[  179.20s ->   184.16s] I'll show you how you can do this on a small account, on a large account,
[  184.52s ->   187.30s] and how you can scale across different sizes and assets.
[  187.80s ->   190.58s] I will show you how it has a very high win rate of 95%.
[  190.58s ->   193.68s] How there's no risk to the upside, which is amazing.
[  193.86s ->   197.62s] So many outcome strategies, like you're capped at how high you can go.
[  197.90s ->   201.42s] But no matter how high the stock goes, you have no upside risk.
[  201.94s ->   206.72s] And it offers larger payouts if the asset moves down, which is great as well.
[  206.72s ->   209.84s] There's like a built-in hedge to it, which is always good for protection.
[  210.08s ->   212.86s] And there's multiple ways to win and exit the trade,
[  212.96s ->   215.60s] which we'll be discussing here later in this trade.
[  216.20s ->   219.30s] So how do we structure the 1-1 income trade?
[  219.38s ->   219.96s] It's very simple.
[  220.06s ->   220.22s] Okay?
[  220.50s ->   222.44s] First, we need to understand what is the goal of this trade?
[  222.96s ->   227.82s] The goal of this trade is to generate reliable monthly income, but do so safely.
[  228.04s ->   228.28s] Okay?
[  228.38s ->   232.12s] So include a hedge to help offset losses and a downtrend.
[  232.12s ->   236.50s] So unlike other option-selling strategies that optimizes for profit,
[  236.90s ->   241.86s] this one, we look at profit, but also consider risk, and we add a hedge to it.
[  242.62s ->   245.16s] And so how does the general market trade the strategy?
[  245.28s ->   250.62s] Like the overall typical approach for this strategy is 90 to 120 days out in the future.
[  251.10s ->   255.14s] So that means you're looking at about three to four months in the future for this trade,
[  255.22s ->   260.46s] which gives you plenty of time for it to work out in your favor.
[  260.46s ->   266.08s] And as we'll discuss in the risk section, the further out in time you go, 90 or 120,
[  266.38s ->   270.98s] the lower your volatility risk, the higher your win rate, and the more profit you make,
[  271.06s ->   272.48s] which I know almost everybody here wants.
[  272.58s ->   273.98s] Now, how do we pick strike selection?
[  274.56s ->   277.76s] So this trade, the 1-1-1, is broken up into two trades.
[  277.84s ->   281.70s] It's broken up into a PDS, which stands for a put debit spread,
[  282.06s ->   284.42s] and it's broken up into a short put.
[  284.42s ->   288.90s] So the put debit spread is the 1-1, we buy one put and we sell one put.
[  289.20s ->   293.92s] And the other one is a very far out of the money put that we sell.
[  294.38s ->   298.10s] So again, the first two combined makes the put debit spread, or the PDS.
[  298.38s ->   299.78s] And the second one is the short put.
[  299.88s ->   303.46s] So for the put debit spread, we do a 25 long put.
[  303.72s ->   305.02s] So a 25 delta long put.
[  305.08s ->   307.02s] So we buy the put at 25 delta.
[  307.38s ->   309.88s] I'll show you exactly how to find these levels in the broker.
[  309.88s ->   311.36s] So don't worry if you're new to this.
[  311.66s ->   314.06s] It'll be doing a 23 delta that you sell.
[  314.46s ->   316.02s] And so that creates the put debit spread.
[  316.52s ->   319.40s] And then the short put will be done at a 10 delta short put.
[  319.76s ->   322.86s] So again, we're going to sell far out of the money, which is about 10 delta.
[  323.34s ->   326.94s] But credit target, we're going to target about a $20 to $40 credit.
[  327.40s ->   330.04s] I'm going to move my face and put the rest.
[  330.22s ->   336.68s] Ideal assets to trade this on is going to be ES, CL, GC, SPX, SPY, things like that.
[  336.68s ->   342.46s] So again, futures options are preferred, because as you'll see, when we get into the broker section,
[  342.54s ->   347.16s] when I show you on the broker, you get insane amount of leverage and get a great return on your money.
[  347.50s ->   349.52s] And so that's why futures options are preferred.
[  349.66s ->   353.90s] You also can reduce a lot of risk this way, because futures trade overnight.
[  354.22s ->   358.12s] And so most of the time market crashes start in the after hours,
[  358.40s ->   363.24s] and then really accelerate when the market opens and people actually start being allowed to trade.
[  363.24s ->   368.10s] But if you're doing futures options, you're able to get out overnight before the massive crash.
[  368.18s ->   370.74s] And so I've done that before, and it's saved me thousands of dollars.
[  371.20s ->   375.40s] And so all those combined, I love futures options, but you can also do it on SPX and SPY.
[  376.10s ->   377.56s] So how do we manage the trade?
[  377.60s ->   382.54s] We just learned how to structure it and set it up, but we manage it by doing an 80% to 90% take profit.
[  383.22s ->   387.88s] We have a 200% to 400% stop loss, and we don't really have an early management rule.
[  388.00s ->   389.40s] This is how the general market does it.
[  389.40s ->   395.48s] So basically, if we're looking at it based on the example, if we receive $20 in credit to put this trade on,
[  395.54s ->   399.72s] we receive $20 to enter this trade, and we're doing an 80% take profit,
[  399.98s ->   403.66s] that means that we're going to close the trade once the trade price gets to $4.
[  404.06s ->   409.04s] Okay, so we started 20, goes down to four, we've made an 80% profit, and we'll close the trade.
[  409.20s ->   411.24s] Now we're doing a 200% stop loss.
[  411.38s ->   415.36s] Once it gets to $60, we would have experienced a 210 stop loss.
[  415.36s ->   419.52s] And so those are some examples based on the credit, and so yeah, that's how we structure those trades.
[  420.24s ->   424.00s] Now, this is one of the most important sections is risk, okay?
[  424.04s ->   427.72s] Because the point is, if you can manage risk, almost any strategy makes money.
[  427.80s ->   432.54s] Almost every strategy you found on YouTube makes money if you just learn how to manage risk.
[  432.62s ->   436.00s] Now, I would argue the 111 is one of the best strategies around that you can use,
[  436.18s ->   438.30s] but we still need to understand the risk, okay?
[  438.36s ->   441.38s] So number one, the biggest risk is buying power risk, okay?
[  441.38s ->   446.82s] So if you don't know what this is, as you're putting on 111s, you typically enter this on a weekly basis,
[  446.82s ->   450.08s] and so you'll have a lot of overlapping trades, right?
[  450.16s ->   455.34s] So maybe you have four, five, maybe six, eight, eight or so trades open at a single time,
[  455.60s ->   460.72s] and if each trade has a stop loss max loss of about $3,000,
[  461.52s ->   464.46s] well, now you have a lot of risk that you're looking at.
[  464.50s ->   468.16s] But not only that, if specifically if you're doing futures options,
[  468.16s ->   472.36s] the buying power required for that trade can go up if the market gets riskier.
[  472.72s ->   477.28s] So let's say you entered a 111, and it took you $4,000 to put on that trade.
[  477.66s ->   479.86s] It can then increase that limit up to $8,000.
