[    2.10s ->     6.18s] Suppose you're a trader sitting on some sort of exotics desk and you got your Bloomberg
[    6.18s ->    12.74s] terminal open and you get an IB from a repeat client. He's asking you to give him a quote
[   12.74s ->    18.64s] for a down and out barrier option on Apple. How are you going to go about giving a quote
[   18.64s ->    23.78s] in this capacity? Well, in this video, I want to talk about one of the most important structures
[   23.78s ->    29.04s] in all of quantitative finance, financial engineering, and that is the implied volatility
[   29.04s ->    35.60s] surface. Not much can happen without the implied volatility surface. Before we go about tackling
[   35.60s ->    42.08s] this problem of giving our counterparty a quote for this trade, we need to understand the Black
[   42.08s ->    46.94s] Shoals model. We need to understand implied volatility. We got to understand the implied
[   46.94s ->    53.54s] volatility surface in general, the calibration problem and issues with the Black Shoals model
[   53.54s ->    59.90s] when it comes to trading these exotic products and solutions to this calibration problem and
[   59.90s ->    66.50s] extensions of the Black Shoals model. First up is the Black Shoals model. Now, I have plenty of videos
[   66.50s ->    71.26s] discussing the derivation of the model, how to set up the differential equation. I have articles
[   71.26s ->    75.76s] discussing the solution to that differential equation, and I'm going to leave all those resources
[   75.76s ->    81.22s] in the description below. But for the purpose of this video, all we really need to know is that
[   81.22s ->    85.68s] the Black Shoals model makes a whole bunch of assumptions about the environment that we're
[   85.68s ->    92.90s] working with, specifically no arbitrage assumptions, continuous hedging assumptions. And when we set
[   92.90s ->    99.20s] up and solve a differential equation in that context, we get a closed form solution to the price
[   99.20s ->   105.86s] of a European call or put option, the price that we should pay based on five parameters. Those five
[  105.86s ->   110.94s] parameters are the spot price, that is the price of the underlying asset for the contract in
[  110.94s ->   116.48s] question, the strike price associated with that contract, the risk-free rate, the volatility and
[  116.48s ->   123.06s] the time to expiration, the maturity of that contract. And when you go about solving that
[  123.06s ->   128.48s] differential equation, you produce a closed form functional, which maps this vector of parameters.
[  128.48s ->   134.56s] So there's just a vector that lives in R5. We can map that to the price of the corresponding option.
[  134.98s ->   138.40s] So what I have here is I have a very simple function called the Black Shoals call.
[  138.40s ->   144.26s] It takes all five of these parameters as inputs, and it's going to give us an option price.
[  144.44s ->   150.82s] One thing we can do with this function is produce a price based on five inputs. That's very clear.
[  150.94s ->   155.62s] If I give you a stock price, a strike price, a risk-free rate, a time to maturity, and a volatility
[  155.62s ->   161.42s] in the Black Shoals framework, you can give me an option price for a call or a put option.
[  161.88s ->   166.72s] But one thing you'll notice very quickly is that a lot of these parameters are actually dictated by
[  166.72s ->   173.26s] the market. What I mean is we don't actually choose the spot price of the asset. That is dictated by
[  173.26s ->   177.70s] supply and demand for whatever underlying we're trading. Maybe it's an option on Apple stock or
[  177.70s ->   183.28s] Nvidia stock. The spot price is whatever the price the underlying asset that stock is trading at right
[  183.28s ->   190.94s] now. The strike price is also fixed for the option in question. The risk-free rate is also dictated by
[  190.94s ->   198.06s] the market. And the time to maturity is also baked into the option contract itself. So four of the
[  198.06s ->   205.04s] parameters, four of the inputs into this Black Shoals function are already spoken for by the market or
[  205.04s ->   211.76s] the contract itself. But one thing that's also very interesting is that the option price is also
[  211.76s ->   218.36s] already spoken for. Supply and demand dictate the price of the option. And you can go out right now and
[  218.36s ->   224.08s] check out an options chain and see how much that option is worth. So really the only thing that we
[  224.08s ->   231.84s] don't have is volatility. Now volatility isn't directly observable. We can try to look historically
[  231.84s ->   237.82s] at a return series, maybe look at some sort of square deviation from an expectation to measure volatility
[  237.82s ->   245.48s] in hindsight looking backward. But there is no observed volatility. There is no true level of
[  245.48s ->   253.18s] volatility. So this begs the question, what do we use as an input for this volatility term? This is
[  253.18s ->   257.98s] exactly where the idea of implied volatility comes into play and is one of the things that makes the
[  257.98s ->   264.46s] Black-Scholes model so incredible. It's that we have four of the five inputs, but we also have the
[  264.46s ->   271.18s] output. So what we can do is back out this volatility term to figure out what volatility to put into the
[  271.18s ->   277.38s] Black-Scholes function to get the price that we're observing in the market. And this is going to tell
[  277.38s ->   283.56s] us something about the way that traders are pricing these options and volatility specifically in a
[  283.56s ->   289.16s] forward looking sense. So what do I mean by this? Well, let me give you an example. So in this section
[  289.16s ->   294.58s] of guessing implied volatilities, I'm kind of teeing up this idea of an inverse Black-Scholes function
[  294.58s ->   300.92s] to retrieve this volatility, this implied volatility. So let's suppose we have an option contract on
[  300.92s ->   307.12s] NVIDIA. Well, the underlying asset price, the NVIDIA stock price is very easy to observe. I can go out
[  307.12s ->   312.50s] and I can find that right now. The strike price and the time to maturity of the contract is my choice. I
[  312.50s ->   318.18s] can choose to trade whatever contract I like. We can proxy the risk-free rate through many different
[  318.18s ->   324.56s] methodologies. We can use treasuries, etc. We also have the price of this option based on
[  324.58s ->   329.32s] the market supply and demand for it. I can go out and I can figure out what the price of the option
[  329.32s ->   335.52s] is. And now I got to figure out what the volatility is. Well, if I go and I use this Black-Scholes
[  335.52s ->   340.54s] function, I'm just going to pick a random value for my implied volatility. I'll start with 0.2 or 20%.
[  341.06s ->   348.40s] When I run it, I get an option price of 10.45. That doesn't match the option price that I'm observing
[  348.40s ->   355.50s] in the market of 11.50. So I got to change this volatility term. Now, when volatility increases,
[  355.50s ->   360.46s] your option price will increase. When volatility decreases, your option price will decrease. So
[  360.46s ->   366.32s] what I'm going to do is I'm going to increase this from 0.2 to 0.5. Check out how it affects my option
[  366.32s ->   373.14s] price. Wow. That's overshooting the target price by quite a bit. Now I'm going to make this 0.35.
[  373.14s ->   384.52s] Run this. 16 closer, 0.25, and so on and so forth. But clearly this is impractical, right? We're not
[  384.52s ->   390.52s] just going to keep guessing volatilities until we produce the correct implied volatility dictated by
[  390.52s ->   396.36s] the market and supply and demand for all of these parameters for our option contract. Instead, we're
[  396.36s ->   401.38s] just going to set up a minimization problem. And this minimization problem, the goal is to minimize
[  401.38s ->   407.94s] the distance between the price that we're observing in the market and the price given by a Black-Scholes
[  407.94s ->   412.18s] call. And there's a lot of different ways that you can set up this problem and solve it. I'm just going
[  412.18s ->   417.78s] to show you a very simple way to set up this implied volatility function so that you can produce the
[  417.78s ->   424.00s] correct implied volatility for your Black-Scholes call and put pricing functions. There's no shortage
[  424.00s ->   431.04s] of schemes to use and methodologies of establishing this minimization problem. I'm just going to do it as
[  431.04s ->   437.06s] a simple convex function. So what I'm doing is I'm just taking this difference and I'm squaring it
[  437.06s ->   444.68s] and using scipy, I'm just going to minimize this objective function and this will produce the Black-Scholes
[  444.68s ->   451.82s] implied volatility. And in very simple terms, assuming the rest of the parameters of the Black-Scholes
[  451.82s ->   459.48s] function are fixed in this specific context, all we're really doing is creating an iterative way to
[  459.48s ->   465.44s] solve for this Black-Scholes inverse function. So really all we have here is that the Black-Scholes
[  465.44s ->   471.44s] function is a function of volatility because all of the other parameters are spoken for in the context
[  471.44s ->   479.10s] of our option contract. And that's going to produce this Black-Scholes price. This implies that we can
[  479.10s ->   486.18s] take the inverse of the Black-Scholes function itself to the price of the option and find the implied
[  486.18s ->   490.72s] volatility. And that's precisely what we're doing here. So we can see this is just a chart of the
[  490.72s ->   497.00s] convergence of the solution. You can see we start out with a moderately high error and we converge to
[  497.00s ->   502.50s] near zero error. And once we've done that, we've successfully established this function that is this
[  502.50s ->   507.82s] inverse Black-Scholes function, if you will. And what that means is we can go freely back and forth
[  507.82s ->   514.04s] between a Black-Scholes price and a Black-Scholes volatility. Here's a simple example with a
[  514.04s ->   518.98s] parameter set. And here what we're doing is we're just using everything we have available in the
[  518.98s ->   524.00s] market to us. We have all of the inputs and the corresponding price, so all of the inputs except
[  524.00s ->   529.48s] for volatility. And we're using this implied volatility function that we just built here to
[  529.48s ->   536.20s] solve for the corresponding volatility of the option contract, the so-called implied volatility.
[  536.20s ->   544.24s] So if I was to change this contract to, say, $15, then what would happen to implied volatility? Well,
[  545.06s ->   550.98s] implied volatility would have to increase. So when I run this, I get 32.4% because the only way to
[  550.98s ->   556.60s] achieve the higher option price, assuming all the other parameters are equal, is to quote it with a
[  556.60s ->   561.90s] higher volatility term. That's exactly what we see here. And the same is true if I decrease the price
[  561.90s ->   569.50s] down to 10. Implied volatility would have to fall. And that's exactly what we see here. We're just
[  569.50s ->   574.82s] about ready to move on to the implied volatility surface. Before we do, I have a few more remarks for
[  574.82s ->   581.72s] one regarding the consistency of implied volatilities. Typically, whenever we refer to implied
[  581.72s ->   587.66s] volatility, we're talking about these Black-Scholes implied volatilities. That is, it is constructed in
[  587.66s ->   593.30s] the manner that we have just gone about producing the implied volatility for one contract. That's how
[  593.30s ->   598.90s] we're doing it for all of the contracts that we see. Should the context demand other implied
[  598.90s ->   605.60s] volatilities? Usually, it will be very explicit, thinking about things in the space of approximating
[  605.60s ->   610.52s] pricing functionals, some sort of calibration approach approximation using neural networks.
