[    0.46s ->     7.33s] One of the most popular dimensionality reduction techniques available to us is a principal
[    7.33s ->    14.37s] component analysis. Anytime you are working in a modeling capacity and you are given a feature set
[   14.37s ->    20.95s] of predictors, you're going to want to eliminate as much collinearity among that feature set as
[   20.95s ->    27.67s] possible. This will help downstream as you are concerned with ideas like stability and robustness
[   27.67s ->    34.25s] in your model's performance when you actually apply it in the real world. So why do we care about
[   34.25s ->    39.13s] redundancy in the first place? There's a lot of different examples and analogies we can use, but
[   39.13s ->    45.23s] I came up with one that is my favorite and I will give it to you through a narrative. Suppose you are
[   45.23s ->    51.83s] a security guard and you're tasked with ensuring that nobody is on-premises past a certain time.
[   51.83s ->    58.54s] Let's say you have 10 cameras. Let's say each of those cameras is pointed in a unique direction.
[   58.54s ->    63.88s] Well, that's going to be certainly helpful. Is it not? You're going to be able to look at your
[   63.88s ->    70.18s] security guard screen and you're going to see each one of those camera frames individually and you'll
[   70.18s ->    75.28s] just scan each one of those camera frames and you will be able to determine whether or not there is
[   75.28s ->    80.88s] somebody on the premises or not. So you need all 10 of those cameras. You need all 10 of those cameras.
[   80.88s ->    89.04s] Now suppose that three or four of those cameras are now overlapping regions and there's only a sliver
[   89.04s ->    94.46s] of one of the cameras that you need to care about. Well, wouldn't it be nice to be able to combine
[   94.46s ->   100.68s] some of those cameras with overlap into just one frame so you can quickly skim all of the frames on
[  100.68s ->   105.86s] your little monitor to see if there's anybody there that's not supposed to be instead of concerning
[  105.86s ->   112.24s] yourself with re-scanning all of that redundant information? That is the idea behind a principal
[  112.24s ->   117.88s] component analysis. Essentially what we are doing with our feature set is we are taking the overlap
[  117.88s ->   122.82s] in the security cameras and we are cutting out that overlap and saying, hey, let's take all of this
[  122.82s ->   128.84s] overlap. Let's toss it out and let's only look at the unique information that is explained or
[  128.84s ->   135.28s] visualized by each individual camera up until a certain point and then we can go ahead and cut
[  135.28s ->   141.20s] off the rest of the redundant information or maybe information that explains a very, very small amount
[  141.20s ->   147.10s] of what we are interested in. So in the context of that security guard example, perhaps there's one
[  147.10s ->   152.40s] camera that's entirely cut off by a refrigerator that is not helping our analysis. We can toss that out
[  152.40s ->   158.42s] and that is going to be a smaller fraction of the variance that we are interested in capturing. So
[  158.42s ->   165.08s] that is the analogy that I like to make in terms of redundant information is trying to keep it visual,
[  165.24s ->   169.96s] trying to understand that, hey, like when we are dealing with redundancy, we want to eliminate it for
[  169.96s ->   177.56s] a productive reason. This is going to help our model's capacity to predict, to classify whatever it is
[  177.56s ->   184.12s] we are doing. And it's not just some hand wavy, oh, we do this upstream, you know, as like a necessary
[  184.12s ->   189.72s] step in the model development pipeline. No, this is a very useful and there is an intuitive
[  189.72s ->   195.20s] explanation as to why we go about doing some sort of dimensionality reduction, especially when
[  195.20s ->   200.70s] collinearity is present. So in this video, we're going to talk about PCA, principal component analysis,
[  200.70s ->   208.60s] and we are going to use a set of stocks and stock returns 2021 to 2022 as an example.
[  209.16s ->   212.90s] So the first step is going to be to import the necessary libraries. Naturally, we're going to
[  212.90s ->   219.44s] use pandas, numpy, matplotlib. I'm going to also import the standard scaler and PCA from sklearn.
[  220.02s ->   225.34s] We probably won't be needing scipy, but I have it there just in case. The first thing we're going to do
[  225.34s ->   230.28s] is load in the data. So what I've done since Yahoo Finance has gotten rid of their API,
[  230.70s ->   237.78s] is I've gone on Yahoo Finance and I've pulled data from 2021 to 2022 from a set of four stocks and an
[  237.78s ->   244.78s] ETF. And what I've actually done is copy and pasted those tables into an Excel sheet and imported the
[  244.78s ->   250.42s] data as such. So I'm just going to read the sheet name and I'm going to combine based on the date and
[  250.42s ->   256.96s] I'm going to compute the log return of the close. So I have here Apple, Amazon, General Motors,
[  256.96s ->   263.06s] Microsoft, and the S&P 500 index. I thought I had pulled it for the ETF, the SPY, but it turns out
[  263.06s ->   270.50s] I actually used the index. So this is going to be my data frame, my data set of stock return
[  270.50s ->   276.72s] information. Now, if we go on down here and take a look at the correlation, you can see that we have
[  276.72s ->   284.08s] the return for Apple, Amazon, General Motors, Microsoft, and the S&P 500. And of course,
[  284.08s ->   288.06s] the diagonals are going to be one because everything is perfectly correlated with itself.
[  288.48s ->   294.20s] And then if you take a look at the correlation between the assets with each other, you know,
[  294.22s ->   298.02s] we get a variety of different correlations. All of them seem to be greater than zero,
[  298.60s ->   303.80s] which does make sense to some capacity. But here we're taking a look and we see that, you know,
[  303.86s ->   308.98s] Apple is highly correlated with Amazon, not as correlated with General Motors. And this would
[  308.98s ->   313.48s] make sense, right? Because they're in different sectors, but they are still exposed to some
[  313.48s ->   318.76s] underlying market risk. Apple is highly correlated with Microsoft, which is also what we would expect.
[  318.84s ->   325.32s] And it seems also to be highly correlated with the S&P 500. So this is quite interesting. But what we
