[    0.00s ->     4.98s] This is five years of no BS futures options selling advice. Over the last five years,
[    5.08s ->     9.14s] I have gone from blowing up two accounts and losing all my money to now consistently making
[    9.14s ->    15.54s] $5,000 every single month by exclusively selling options on futures. I've also helped over 600
[   15.54s ->    19.78s] other options traders do the same thing. And now I'm going to walk you through it in this video.
[   19.90s ->    24.70s] So in this video, I'm going to show you what a future and futures option is. I am then going
[   24.70s ->    28.76s] to show you why futures options are greater than everything else because of the leverage,
[   28.76s ->    33.72s] because of buying power, because of tax benefits and so much more. Then I'll walk you through the
[   33.72s ->    38.56s] three best futures options selling strategies, ones that I'm personally using to generate monthly
[   38.56s ->    43.24s] income. I'll show you the back test, how to trade on the broker, everything you need to know about
[   43.24s ->    47.68s] it that you can walk away from this video knowing how to actually implement real strategies that work.
[   48.00s ->    52.76s] And I'll show you how to mitigate futures options trading risk. Over these five years, I've made a
[   52.76s ->    56.82s] lot of stupid mistakes and I've seen others do the same thing. And so I'm going to warn you about all
[   56.82s ->    61.94s] those like basically roadblocks and how to get around them. And then I'll also show you a real
[   61.94s ->    68.04s] case study of how right now I'm using futures options to consistently make $5,000 a month.
[   68.16s ->    73.38s] So let's dive into the first thing is what is a future and what is futures options? So if I make
[   73.38s ->    78.80s] my face small, so I can keep the screen big, let's dive in here. Okay, so a futures is basically a
[   78.80s ->    84.36s] contract to buy another asset. So essentially, we can think of a future in the simplest terms as a stock,
[   84.36s ->    90.18s] okay, it's just something that we can buy and sell. All right. And now a futures option is betting on the
[   90.18s ->    96.56s] futures contract. Okay, so we're betting on what the futures will do. If you've ever done sports betting
[   96.56s ->   103.12s] where you say, hey, I bet XYZ at football player, for example, will run 100 yards, then that's the same
[  103.12s ->   107.00s] thing you're doing, you're betting on the player. And we're doing the same thing in the options, except we're betting
[  107.00s ->   113.30s] on the futures. So for example, if we see a futures contract that's going up, then we can bet that it will
[  113.30s ->   118.36s] continue to go up. And so we say, hey, I bet that the stock or I should say this future will stay
[  118.36s ->   124.28s] above this level. And so as long as the stock goes up, goes sideways or stays above the level that I
[  124.28s ->   129.70s] I'm going to make money because I'm betting that will stay above this level. Now again, we can do
[  129.70s ->   134.34s] the same thing. Maybe the futures is a commodity because again, futures are commodities as well,
[  134.34s ->   138.84s] like maybe gold or natural gas or something like that. Let's say it's gold, which tends to be very
[  138.84s ->   143.60s] neutral, we can know, hey, gold tends to go nowhere. So maybe I bet that it's going to stay
[  143.60s ->   148.68s] between two levels. And I can do that as well. And so that means I'm betting will stay below this
[  148.68s ->   153.64s] and above this. And if it stays between I make money. And that's what options is. And as an option
[  153.64s ->   159.52s] seller, all we're doing is betting on what the futures will do. And we're taking advantage of it by
[  159.52s ->   164.38s] either betting the asset will continue higher, betting the asset will continue lower, or betting the
[  164.38s ->   168.80s] asset will stay between two levels. And that's all option selling is just betting on that
[  168.80s ->   173.10s] and making sure the numbers work in our favor. And so now you may be wondering, what are these
[  173.10s ->   179.18s] numbers I'm referring to? It is win rate by percentage. It is your win amount by dollars
[  179.18s ->   184.66s] and your loss amount by dollars. We will talk about this with each strategy we bring up here soon,
[  184.66s ->   189.26s] because as long as these numbers are in check, you can be a very profitable option seller,
[  189.36s ->   193.32s] but you must know these numbers. So anyways, diving into the next section here, we already covered
[  193.32s ->   198.56s] what are futures and what are futures options. I now want to explain why future options are
[  198.56s ->   203.58s] greater and better than everything else. Okay, so if we're talking about other types of assets,
[  203.58s ->   208.02s] it's pretty simple if we're just comparing it to a different asset. Why? Because let's say the stock
[  208.02s ->   214.40s] is moving higher, right? If we were to buy a stock or buy a future, it's a 50-50 bet that we make money.
[  214.74s ->   219.58s] Why? Because if we buy it here, either it goes up from here and we make money or it goes down from
[  219.58s ->   224.66s] here and we lose money. So with stock and options, we only have a 50-50% chance of making money.
[  224.66s ->   230.50s] Either it goes up or it doesn't. Now, with futures options or really option selling of any kind,
[  230.86s ->   235.56s] if we, like, let's say bet that it stays above this price, that means if it goes up, we make money.
[  235.66s ->   240.36s] If it goes sideways, it makes money. If it goes down, we make money. We all lose money when it
[  240.36s ->   245.68s] crashes dramatically below our level. And so as an option seller, this is a huge advantage, right?
[  245.74s ->   251.70s] This immediately boosts our win rate from 50-50. Again, we're mentioning that win rates a crucial part
[  251.70s ->   258.82s] of these numbers that we're discussing goes from 50-50 to could be as much as 80-20 or even as much
[  258.82s ->   266.50s] as 90-10 or some of my trades even have a 95% win rate with a 5% chance of losing with my risk cap.
[  266.58s ->   271.46s] So we'll be looking at that here in a second. But futures options and selling those gives us these
[  271.46s ->   276.76s] really high win rates and the chance to put the odds in our favor. And so that's why that's number one
[  276.76s ->   283.08s] why it's great. So one, we're put here, is it's great because of win rate. Number two is because
[  283.08s ->   289.38s] of buying power usage, okay? Futures are an expensive asset, but yet the US government wants
[  289.38s ->   295.54s] us to trade it because they put in the tax code that we get certain tax advantages. We pay less
[  295.54s ->   302.06s] taxes when we trade futures or do futures options. And so because they're incentivizing it, why shouldn't
[  302.06s ->   307.88s] we do it and take advantage of this? Again, I'm jumping to three here, but we get tax advantages.
[  308.22s ->   313.66s] And I jumped the gun here, but tax advantages are amazing because now we have 60-40 tax, okay?
[  314.14s ->   321.52s] Typically, what happens here is that we have to pay basically a normal income tax on all of our
[  321.52s ->   326.02s] profits. But when we're doing futures options, we only pay the normal income tax on 40% of the profits.
[  326.02s ->   333.40s] And on 60%, we can pay a long-term tax, which in most cases is 50% or even as low as 0%. So we're
[  333.40s ->   338.26s] basically paying nothing on 60% of our profits and the other 40% we're paying the normal amount.
[  338.38s ->   342.94s] So this is basically a way to cut down on your taxes dramatically. And like I said, the government
[  342.94s ->   348.04s] wants us to trade this. And because it's so expensive, they give us buying power that allows
[  348.04s ->   353.42s] us to do more with less. So we can have less money, but yet make more. And these are some of the
[  353.42s ->   358.78s] the advantages why futures options is awesome. We have a higher win rate, we get to make more
[  358.78s ->   364.34s] money with less money. And the money we do make, we get to keep more of it because of the tax
[  364.34s ->   367.88s] advantage. So those are some of the reasons why futures options are awesome. Now you know
[  367.88s ->   371.56s] it. Now let's get into the details of this. Okay, let's talk about the three best futures
[  371.56s ->   374.84s] options selling strategies. All right. So these are going to be some of the strategies that
[  374.84s ->   378.22s] I'm actually using today. I have a back test for each and I'll show you how to plug it into
[  378.22s ->   382.68s] the brokers that you know exactly how to do it. Okay. So number one, we're going to be
[  382.68s ->   387.10s] looking at is called a strangle strategy. This is a very great strategy. This is my
[  387.10s ->   390.98s] go to this is the strategy that I've actually used to retire my wife because it's been so
[  390.98s ->   395.14s] consistent. If we want to just look at the strategy here, just explain it is let's say
[  395.14s ->   399.72s] the market is going like this, we're essentially betting that the market stays below this level
[  399.72s ->   404.12s] and above this level. So this is what a strangle is, it's betting that it stays between two levels.
[  404.60s ->   407.86s] And so when we do this, if the market goes up, it stays below, we make money goes down,
[  407.90s ->   411.48s] but say below, we make money because neutral, we make money. And the thing we don't even have
[  411.48s ->   415.90s] to let this play out, we can then just let data decay, which happens over time, make a
[  415.90s ->   421.52s] we make money as time goes on. And we could just close that out early. And so typically,
[  421.52s ->   425.48s] we're only in the strangle trade for 17 days. Anyway, I'm getting too much into the weeds.
