[    0.46s ->     7.93s] We often hear of these high-speed trading algorithms, but what is it that they actually
[    7.93s ->    15.39s] do? Hey guys, Roman here, quantitative researcher and trader, founder of QuantGuild, and today I
[   15.39s ->    21.87s] want to explain this idea of algorithmic market making. This is exactly how large financial
[   21.87s ->    29.33s] institutions use probability and statistics to make money in the real world. This is often
[   29.33s ->    36.15s] left outside of the classroom when we study these topics in an academic setting. We're
[   36.15s ->    40.65s] going to take a look at a dice market, and if we can make a market there, we can extend
[   40.65s ->    48.01s] that idea to any source of randomness or uncertainty. And that's exactly why we can see pretty much
[   48.01s ->    55.45s] everything is tradable these days, not just stocks or options, but even your favorite sports
[   55.45s ->    62.21s] team winning or the weather next week. We're going to discuss the math that makes all of
[   62.21s ->    67.49s] these markets. Depending on the events you're looking to trade, your location may restrict
[   67.49s ->    73.69s] access to that market. Unlike my Jupyter notebooks, which everyone has access to regardless of
[   73.69s ->    78.21s] their location. I'll leave a link to this Jupyter notebook in the description below. I'll also
[   78.21s ->    82.55s] post it to the QuantGuild library on GitHub, where you can find all of my Jupyter notebooks
[   82.55s ->    87.55s] and associated YouTube videos, along with all of the source code for my Quant builds.
[   87.55s ->    91.47s] At the top of this Jupyter notebook, you'll notice some related QuantGuild videos applying
[   91.47s ->    96.31s] probability and statistics to finance and trading. This idea of time series analysis,
[   96.31s ->   102.31s] retail vs. institutional trading, trading vs. investing, this idea of accumulating positive
[  102.31s ->   108.39s] expected value over time, the difference between Quant and discretionary trading, and of course,
[  108.39s ->   114.35s] busting three trading myths that these trading gurus love to propagate. If you're unfamiliar
[  114.35s ->   120.27s] with any of these ideas, I highly recommend you check these videos out first before tackling one
[  120.27s ->   124.79s] like this. Moreover, these videos certainly take a lot of effort to create, so if you'd like to help
[  124.79s ->   129.13s] support the channel so I can continue to create videos just like this one, please like, comment,
[  129.23s ->   134.07s] subscribe, share. It helps me out tremendously. It is always greatly appreciated, and if you'd like to
[  134.07s ->   140.15s] master your quantitative skills, check out QuantGuild.com. Maybe you come from a background in business,
[  140.15s ->   146.11s] economics, computer science, and aren't too sure where to get started on your Quant journey. Maybe
[  146.11s ->   152.01s] you're an aspiring Quant or a working professional looking to sharpen those technical skills. In any case,
[  152.17s ->   158.19s] QuantGuild is for you. We have over 90 Quant lessons in math, probability, finance, an adaptive
[  158.19s ->   163.79s] practice engine that scales with your skill level so you can progress to more and more difficult
[  163.79s ->   171.23s] topics with gamified rank-based progress, interview questions with fully worked solutions, trading
[  171.23s ->   180.41s] games, courses from A to Z in math, coding, probability statistics, and more on the way. And all that's
[  180.41s ->   186.81s] included with QuantGuild membership, and you can get started right now for free. So if you'd like to help
[  186.81s ->   193.29s] support the channel and master your quantitative skills, check out QuantGuild.com. Without further ado,
[  193.29s ->   201.05s] let's get started by discussing this idea of making a market for a dice. What is a market maker anyway?
[  201.21s ->   207.59s] Well, when you go on Robinhood and you buy a stock or an options contract, you need somebody to take
[  207.59s ->   214.01s] the other side of that trade. And that somebody is a market maker. They are serving a business function
[  214.01s ->   221.41s] as a liquidity provider. They quote prices, mainly the bid and the ask or offer. The bid is the price
[  221.41s ->   229.09s] that you can sell to them at. And the ask or offer is the price that you can buy from them at. And they
[  229.09s ->   235.73s] are taking the other side of whatever trade you place. Let's take a look at an example in the context
[  235.73s ->   245.01s] of this dice market. So for example, a trader wants to go long 1000 shares at $3 per share, where a share
[  245.01s ->   252.53s] here is just going to be a dice roll. Who's going to take the other side of that trade? Well, that's
[  252.53s ->   261.25s] going to be our market maker. So they're going long 1000 shares. That means our market maker is short 1000
[  261.25s ->   268.85s] shares. A dice is going to be rolled and the outcome of six is realized. So who makes money in
[  268.85s ->   275.81s] this case? Well, our trader is long, and they were long at $3. The realization is six. So they make
[  275.81s ->   284.29s] the difference. And that's going to be $3 per share for their 1000 shares, or $3,000. Now, the question
[  284.29s ->   292.77s] is, how do we determine the price that that trader can transact at within this market that is quite
[  292.77s ->   300.85s] literally the job of a market maker? If they do this effectively, they quote effective prices,
[  300.85s ->   307.25s] then our market makers wealth path over time should look something like this. They don't get to pick
[  307.25s ->   314.61s] the sample path that they walk. But the overall expected value or the trajectory of their wealth path
[  315.17s ->   324.69s] is positive. And if they're quoting prices in an ineffective way, then the overall trajectory of
[  324.69s ->   333.57s] their wealth path is going to look something like this. So how do we dictate the prices that we're willing
[  333.57s ->   341.97s] to quote traders in this dice market? Well, clearly, there's going to be a positive difference between the
[  341.97s ->   349.09s] ask and the bid. Otherwise, our traders could make a risk free profit always buying low and selling high
[  349.09s ->   355.49s] just directly back to us as the market maker. So if there is a positive spread there, a reasonable
[  355.49s ->   362.61s] question to ask is what is the mid point? Maybe that can help us dictate how we quote our prices.
[  362.61s ->   368.61s] So this is going to be known as the mid price in the context of our dice market. I'm going to ask
[  368.61s ->   377.57s] a simple question, what is our best guess for the outcome of our dice roll? Let's make that our mid
[  377.57s ->   383.09s] price, I'm going to call it theta. And what I'm going to do is look at this error function, the mean
[  383.09s ->   391.49s] squared error. And that's going to tell me how effective my guess theta is. And what this then turns
[  391.49s ->   401.25s] into is a minimization problem, I want to pick the best data possible to produce the lowest error. And if I
[  401.25s ->   407.49s] visualize this for you, you can see we get something that looks like a nice quadratic here. And the lowest
[  407.49s ->   414.45s] point on this function is going to correspond with the theta input that produces the lowest error. In other
[  414.45s ->   424.85s] words, functionally, it is our best guess for the value theta, our mid price, the outcome of a dice roll,
[  424.85s ->   433.81s] it turns out that this value, our best guess for the outcome of a dice roll is 3.5. But a dice can't land on
[  433.81s ->   441.25s] 3.5. Where did this value come from? If we take the average of our dice roll, that is all of the possible
[  441.25s ->   450.05s] outcomes, we actually get that exact same value 3.5. And this isn't a coincidence. If I look to solve
[  450.05s ->   456.21s] this formal minimization problem, and I apply the necessary calculus, take the derivative, set it equal
[  456.21s ->   463.41s] to zero, treat the expectation as the constant that it is. In the context of this problem, I find that our
[  463.41s ->   471.09s] optimal choice of theta, that mid price that produces the smallest error, as we just saw here,
[  471.09s ->   478.29s] is equivalent to the expectation of our dice roll. And in this case, we said the expectation, the mean or
[  478.29s ->   485.89s] the average is what? 3.5. So that is the formal math behind what is going on. Instead of applying
[  485.89s ->   491.41s] the calculus directly, you can take a look at this animation, which is numerical minimization. It's
[  491.41s ->   497.89s] applying the exact same idea to go about finding this idea of the lowest error. Effectively, we are just
[  497.89s ->   504.21s] riding the roller coaster down until we find the best possible mid price that produces the lowest
[  504.21s ->   511.65s] error. How do we know that this is the correct mid price? Well, the outcome of a dice roll is fully
[  511.65s ->   519.73s] specified by its probability mass function. In other words, the probability of rolling a 1, 2, 3, 4,
[  519.73s ->   528.53s] 5, or 6 is fixed. It will never change throughout the life of our dice market. And what that means is
[  528.53s ->   534.37s] all of our probability statistics and distributions are going to converge. And that's exactly what you're
[  534.37s ->   541.73s] observing here in this animation. As I continue to roll a fair dice, I'm going to take the cumulative
[  541.73s ->   550.61s] mean and it is going to converge with probabilistic certainty to that theoretical mean of 3.5, which we
[  550.61s ->   559.41s] computed above. And that is our mid price. Our goal now as a market maker is to quote a bid and an ask
[  559.41s ->   568.21s] or offer around this mid price. So how do we do this in a way that we are certain statistically that we are
[  568.21s ->   575.49s] going to accumulate wealth over a series of trades? Well, I'm going to apply the law of total expectation.
[  575.49s ->   583.33s] I'm going to assume an equal volume on either side of the spread, and I can apply the expectation
[  583.33s ->   590.85s] directly to the difference between the outcome of a dice roll and the price that we end up transacting
[  590.85s ->   597.25s] at. When selling at the ask, the profit is going to be the difference between the ask and the realization.
