[    1.26s ->     7.61s] The central limit theorem is quite literally the bridge between probability and statistics,
[    7.61s ->    13.67s] yet it remains one of the most misunderstood and misapplied theorems in all of quantitative
[   13.67s ->    18.31s] finance. Well, no longer. In this video, we're going to cover everything that you need to know
[   18.31s ->    24.53s] about the central limit theorem from theory all the way to practice. We'll start with this idea
[   24.53s ->    29.65s] of a random variable. It's accompanying statistics. Extend this to a normal or
[   29.65s ->    35.25s] Gaussian distribution. Then we'll move on to a rough proof of the central limit theorem itself
[   35.25s ->    41.25s] and talk about its implications. Once we're done with that, we will leave the classroom and apply
[   41.25s ->    48.27s] it in the real world to stock returns and this idea of a trading signal. Very rarely do we have
[   48.27s ->    55.25s] access to the population or data generating distribution for an event of interest. You
[   55.25s ->    60.85s] can think of something like a stock return, unlike my Jupyter notebooks, which you always
[   60.85s ->    65.49s] have access to. This Jupyter notebook will be linked in the description below. I will also post it to
[   65.49s ->    70.13s] the Quant Guild library on GitHub, where you can find all of my Jupyter notebooks and associated YouTube
[   70.13s ->    75.25s] videos, along with all of the source code for my quant builds. At the top of this Jupyter notebook,
[   75.25s ->    80.45s] you'll notice some related Quant Guild videos applying probability and statistics to finance and
[   80.45s ->    85.57s] trading, this idea of time series analysis, retail versus institutional trading, trading versus
[   85.57s ->    92.53s] investing, this idea of accumulating edge over a series of trades or time, quant versus discretionary
[   92.53s ->    98.93s] trading, and of course, busting three popular trading myths that these trading gurus love to
[   98.93s ->   104.29s] propagate. If you're unfamiliar with any of these ideas, I highly recommend that you check these videos
[  104.29s ->   110.05s] out first before tackling one like this. Moreover, these videos certainly take a lot of effort to
[  110.05s ->   113.57s] create, so if you'd like to help support the channel so I can continue to create videos
[  113.57s ->   118.05s] just like this one, please like, comment, subscribe, share. It helps me out tremendously. It is always
[  118.05s ->   124.37s] greatly appreciated. And if you'd like to master your quantitative skills, check out quantguild.com.
[  124.37s ->   129.65s] Maybe you come from a background in business, economics, computer science, and aren't too sure
[  129.65s ->   134.93s] where to get started on your quant journey. Maybe you're an aspiring quant or a working professional
[  134.93s ->   140.93s] looking to sharpen your quantitative skills. In any case, Quant Guild is for you. We have over 90 quant
[  140.93s ->   147.57s] lessons in math, probability, finance, an adaptive practice engine that scales with your skill level
[  147.57s ->   153.89s] so you can progress to more and more difficult topics with gamified rank based progress, interview
[  153.89s ->   161.97s] questions with fully worked solutions, trading games, courses from A to Z in math, probability statistics,
[  161.97s ->   169.89s] coding, and more on the way. And all that's included with Quant Guild membership. And you can get started
[  169.89s ->   175.33s] right now for free. So if you'd like to help support the channel and master your quantitative skills,
[  175.33s ->   181.41s] check out quantguild.com. Without further ado, let's get started by talking about this idea of a random
[  181.41s ->   187.49s] variable by talking about how they are defined and using one to model the number of trades on a
[  187.49s ->   196.61s] particular instrument within 100 milliseconds. So first things first, a random variable is defining
[  196.61s ->   204.37s] a set of possible outcomes with accompanying probabilities or likelihoods. They are fully specified
[  204.37s ->   211.17s] by their probability mass or density function, cumulative distribution function, or even the characteristic
[  211.41s ->   219.25s] function. There are a lot of different types of random variables, both discrete and continuous,
[  219.25s ->   225.73s] but we're going to look at one in particular to model this idea of the number of trades executed
[  225.73s ->   232.61s] on a particular instrument over the next 100 milliseconds. And that is going to be this Poisson
[  232.61s ->   240.29s] random variable. The Poisson distribution is parameterized by lambda, and that represents the mean or
[  240.29s ->   248.93s] average expected number of trades over the specified time interval of 100 milliseconds in this example.
[  248.93s ->   254.61s] So what we have here is the probability mass function. It is a discrete random variable,
[  254.61s ->   261.41s] so each outcome has an accompanying probability. The cumulative distribution function tells us the
[  261.41s ->   268.85s] cumulative probability up to a particular point, that is a certain number of trades. And the characteristic
[  268.85s ->   276.13s] function is effectively the Fourier transform of the mass function itself, which we all know is unique.
[  276.13s ->   283.09s] So we can go freely back and forth between the characteristic function, the mass function. If we sum the mass
[  283.09s ->   289.81s] function, we get the distribution function. If we difference, we get back the mass function. In any case,
[  289.81s ->   295.57s] what are we actually observing down here? Well, we're observing the theoretical versus the empirical
[  295.57s ->   303.73s] distribution of trades observed over the interval of 100 milliseconds. So what we're doing effectively
[  303.73s ->   309.41s] is we are going to experience 100 milliseconds and then record the number of trades we see,
[  309.41s ->   316.61s] experience another 100, record the trades, so on and so forth. And that is how we construct this bar
[  316.61s ->   323.01s] chart on the right, this histogram. And what we're observing here is this sample of data that we observe
[  323.01s ->   332.13s] over the course of 25,000 milliseconds is converging to this population or data generating distribution.
[  332.13s ->   339.81s] And that's because the data that we're observing on the right is drawn from this theoretical distribution.
[  339.81s ->   347.17s] Now, it's very important to note, in practice, we don't get the theoretical data generating distribution.
[  347.17s ->   353.73s] This is what we're trying to model. If we had the dynamics itself, we wouldn't need to develop a
[  353.73s ->   359.49s] model in the first place. We are going to need to make assumptions and we are going to use those
[  359.49s ->   365.33s] assumptions to construct a model to aim at making informed decisions under uncertainty.
[  365.33s ->   371.97s] That is our goal, never to predict a specific outcome. We will never be able to predict
[  371.97s ->   379.01s] the number of trades over the next 100 milliseconds. We will never be able to predict a stock price
[  379.01s ->   385.97s] or a stock return. That is not the purpose of modeling in this context. Importantly, the sample
[  385.97s ->   392.45s] that we're dealing with these blue bars on the right for all intents and purposes are random variables.
[  393.01s ->   398.77s] That is, if I was to resample from this population distribution with a different random seed,
[  398.77s ->   405.65s] then what you're going to observe is an entirely different sample of data. Now, it's true, if I
[  405.65s ->   411.81s] continue to sample from this population distribution, eventually it will converge to the theoretical mass
[  411.81s ->   417.73s] function. But for this particular sample of 25,000 milliseconds, right, we're observing trades every
[  417.73s ->   424.05s] 100 milliseconds all the way up to a cumulative 25,000 milliseconds, we can see a completely different
[  424.05s ->   433.17s] sample of data here. So the empirical distribution is effectively a random variable. Asymptotically,
[  433.17s ->   438.85s] as we observe more and more samples, yeah, it'll converge to this theoretical distribution.
[  438.85s ->   446.21s] But why is this important? Well, this brings us to the idea of a statistic. Whenever I observe a sample
[  446.21s ->   455.89s] of data, I can always take the average, find the mean or expectation, but isn't the empirical distribution
[  455.89s ->   463.65s] a random variable? What does that make the sample mean? That sample statistic? Well, effectively,
[  463.65s ->   472.21s] it makes that sample mean value also random. This goes for every single population or data generating
[  472.21s ->   477.65s] distribution that is either well-defined, like we have here a Poisson distribution,
[  477.65s ->   483.01s] or even in theory, where we're looking at some sort of sample of data that we collected.
[  483.01s ->   490.53s] That is, the empirical statistics are themselves random variables. It doesn't matter if we're dealing
[  490.53s ->   498.13s] with a Poisson distribution, Bernoulli, binomial, geometric, even continuous, uniform, exponential,
[  498.13s ->   506.37s] so on and so forth. All of the empirical statistics are going to be random variables. How is this
[  506.37s ->   513.57s] different from the population distribution? Well, if I was to compute the theoretical mean of the Poisson
[  513.57s ->   521.33s] distribution, I would get lambda, that is the average number of events over that particular time
[  521.33s ->   527.81s] interval. And in this case, we said that the time interval is 100 milliseconds and the event is a
[  527.81s ->   535.41s] trade. So we parameterized our Poisson distribution by an average of four trades over each interval of
[  535.41s ->   543.57s] 100 milliseconds. But in reality, when we observe a sample of data, that is, we look at 100 milliseconds,
[  543.57s ->   549.81s] record the number of trades, look at another 100 milliseconds, record the number of trades, that sample
[  549.81s ->   557.73s] of data that I just recorded is a random variable. And so is the average that I compute.
[  558.29s ->   564.53s] And that is exactly what I'm showing you in this animation, what I'm doing is, I'm going to observe
[  564.53s ->   572.45s] some data, let's say I observe it for what 25,000 milliseconds, I'm going to record all of those trades
[  572.45s ->   579.97s] that I observed in each block of 100 milliseconds. And then I'll take the simple average. And after that
[  579.97s ->   586.13s] iteration, I'll reset the list and do it again. And what do you see here, you see that the mean for each
[  586.13s ->   594.21s] sample of data is going to be different, it is a random variable itself. And you can see here in
[  594.21s ->   604.37s] the first sample of data, I have a mean of four trades, then I have a mean of 3.4, 3.2, 4.2. And what
[  604.37s ->   613.09s] you're observing here is it's kind of oscillating around this theoretical value. And we know with
[  613.09s ->   621.89s] statistical certainty that if we had an infinitely large sample size, then yes, all of these bars
[  621.89s ->   628.69s] would be flat. Effectively, the empirical distribution would converge to the theoretical
[  628.69s ->   636.45s] distribution. And so would all of the statistics. Okay, but how do we know that for sure? Well,
[  636.45s ->   644.61s] that is guaranteed by the law of large numbers. If we're drawing from the same population distribution,
[  644.61s ->   652.37s] then empirical statistics and distributions are guaranteed to converge to their population or
[  652.37s ->   659.17s] the data generating distribution. If we're drawing from the same population distribution, just as we
[  659.17s ->   665.89s] were in both of these examples, this is the probability mass function, the Poisson random variable
[  665.89s ->   672.93s] governing trades that we observe in the next 100 milliseconds. If we continue to draw from a fixed
[  672.93s ->   683.01s] distribution, then empirical probabilities, statistics and distributions are guaranteed to converge. And
[  683.01s ->   688.53s] I have a nice animation of what this looks like for you here. Effectively, I have that empirical mass
[  688.53s ->   696.45s] function on the left. And on the right, I have the sample mean. And this sample mean is tracking the
[  696.45s ->   702.85s] theoretical mean as the sample size increases. If this goes to infinity, this will converge.
[  702.93s ->   709.41s] It will converge to four. And this histogram will converge then to the theoretical probability mass
[  709.41s ->   717.73s] function that we defined above. And again, this occurs with probabilistic statistical certainty.
[  717.73s ->   722.61s] That is given to us by the law of large numbers. This isn't a course on probability theory. There's a
[  722.61s ->   727.89s] difference between the strong and the weak law of large numbers. But I will digress for the sake of
[  727.89s ->   735.09s] brevity. So we can move on to this idea of calibrated and out of sample distributions.
[  735.09s ->   742.13s] This nice idea of convergence does not apply in practice. What we're doing here is we're drawing from
[  742.13s ->   748.77s] the same population Poisson distribution for every single sample that we realize in this empirical
[  748.77s ->   757.41s] distribution and this empirical statistic, the empirical mean. But in reality, we don't get to observe
[  757.41s ->   766.45s] the population or data generating distribution. And what this can lead to is a series of modeling
[  766.45s ->   774.93s] decisions that actually are incorrectly informing the likelihood of different outcomes. What does this
[  774.93s ->   780.37s] actually look like? So we can't observe what the theoretical distribution actually looks like. What I'm
[  780.37s ->   785.41s] going to do is I'm going to do exactly the procedure that I outlined for you before. I'm going to
[  785.97s ->   791.57s] take a look at the number of trades over a hundred milliseconds. I'm going to do that for maybe 10,000
[  791.57s ->   798.37s] milliseconds and I'll compute the average. Let's say I get four. Okay. Well, what I'll do is I'll
[  798.37s ->   806.77s] calibrate a Poisson distribution to that value that I observe in the data. And what I'm then going to do is
[  806.77s ->   815.09s] I'm going to use that theoretical distribution to attempt to inform the next 10,000 milliseconds of
[  815.65s ->   825.09s] trades. And this gets into the idea of non-stationarity, uncertainty, and lack of convergence.
[  825.09s ->   831.65s] What are we observing here? We're observing the population mean that I calibrated my model to as to be
[  831.65s ->   839.01s] four. But when I observe the next 10,000 milliseconds of data, the empirical mean that I get is
[  839.81s ->   847.57s] two. That's nowhere near four. We are grossly overestimating the mean value of the distribution
[  847.57s ->   856.45s] over this next 10,000 milliseconds. And this brings us to the canonical question of modeling.
[  856.45s ->   864.77s] How do we evaluate our model's efficacy? Well, in reality, events are uncertain. They're not random
[  864.77s ->   872.29s] variables. We are using these models to attempt to define probabilities and likelihoods for different
[  872.29s ->   881.25s] states of the world. That is effectively our goal in modeling. This raises some very important
[  881.25s ->   887.17s] questions. In this context, when it comes to trades over 100 milliseconds, we can ask,
[  887.81s ->   894.53s] is a Poisson distribution and the accompanying assumptions, we have this idea of independence,
[  894.53s ->   902.05s] so on and so forth. Is that a reasonable model for trades over intervals of 100 milliseconds?
[  902.85s ->   910.69s] It's a very important question. Is the distribution relatively stable or is there severe time variance?
[  910.69s ->   917.09s] If the distribution was stable, we would observe something like this, where after we calibrate our
[  917.09s ->   922.61s] model, we see the empirical distribution tracks our calibrated model quite well.
[  923.17s ->   929.17s] But in practice, we're going to likely observe something like this, where our calibrated model
[  929.17s ->   938.21s] and the observed data out of sample are fundamentally different. This leads us to the next question.
[  938.21s ->   947.25s] That is, should this time variance persist? Is there a reasonable way to model it? Can we introduce maybe
[  947.25s ->   954.45s] the notion of a regime to better capture these dynamics in different states of the world? For example,
[  954.45s ->   961.25s] maybe this empirical distribution better reflects a period of high volatility. So when we observe trades
[  961.25s ->   967.17s] in a period of high volatility, it follows this distribution, and maybe in a period of low volatility,
[  967.17s ->   975.49s] it follows this one. In any case, what I want you to observe is how the statistics are different. Regardless
[  975.49s ->   980.61s] of if we're dealing with the population or the empirical distribution, you can observe that these
[  980.61s ->   988.37s] statistics are different. And we're not going to have this idea of convergence. If I keep sampling from
[  988.37s ->   995.17s] the data generating distribution and I keep recording samples, I will never see convergence to a mean
[  995.73s ->  1003.41s] like I do here. And that's because the data generating distribution is always going to keep changing over
[ 1003.41s ->  1013.17s] time. And that leaves us a very important question to answer. Is there a way to determine if the statistics
[ 1013.17s ->  1020.93s] that we are observing deviate significantly from a population statistic? In other words, what we're observing
[ 1020.93s ->  1029.97s] here is the empirical mean is what? Roughly two? But the data generating distribution that we calibrated has a
[ 1029.97s ->  1039.65s] mean of four. We don't get to observe this in practice. What is the probability of observing this empirical mean?
[ 1040.29s ->  1046.85s] That's a very important question. Well, if we're asking a question pertaining to probabilities, what do
[ 1046.85s ->  1056.13s] we need to know? We need to know the distribution of the sample mean. And that is the question that we have
[ 1056.13s ->  1065.65s] to answer. If these statistics themselves are random variables, what distribution do they follow? If we can
[ 1065.65s ->  1073.09s] get to that distribution, we can answer necessary questions like, what is the probability of observing an
[ 1073.09s ->  1081.41s] empirical mean of two if the true population distribution has a mean of four? And then we can
[ 1081.41s ->  1091.17s] actually assess the efficacy of that calibrated model. That is what we are building towards. So we need to
[ 1091.17s ->  1102.21s] understand what distribution the sample mean this sample statistic follows since it is in fact a random
[ 1102.21s ->  1108.45s] variable. I hope it doesn't give too much away, but now we're pivoting to talk about this idea of a normal
[ 1108.45s ->  1116.29s] or Gaussian random variable. This is a continuous random variable, which is different from a discrete random
[ 1116.29s ->  1123.81s] variable like a Poisson random variable. But in the context of what distribution does our sample mean
[ 1123.81s ->  1131.41s] follow, you might be able to guess what the central limit theorem is now going to imply. In any case,
[ 1131.41s ->  1136.69s] we will build up to it. So we have the probability density function, the cumulative distribution
[ 1136.69s ->  1143.25s] function, and the characteristic function here that is going to define our normal random variable.
[ 1143.25s ->  1148.77s] And what you'll observe is the same nice convergence properties that we had above
[ 1148.77s ->  1156.13s] in the discrete random variable example of our Poisson distribution. You can see that the empirical
[ 1156.13s ->  1162.45s] histogram that is our empirical distribution will converge thanks to the law of large numbers,
[ 1162.45s ->  1170.21s] along with all of the statistics and associated event probabilities. Now, why is this different from
